=== conv_w64 (33.01M, ffn2: 704 params) ===
  conv_w64 step 0 loss=17.367 (2s, 1967.0ms/step)
  conv_w64 step 500 loss=4.678 (68s, 135.2ms/step)
  conv_w64 step 1000 loss=4.373 (140s, 140.0ms/step)
  conv_w64 step 1500 loss=4.417 (205s, 136.3ms/step)
  conv_w64 step 2000 loss=3.894 (271s, 135.6ms/step)
  conv_w64 step 2500 loss=3.808 (340s, 135.9ms/step)
  conv_w64 step 2999 loss=3.987 (399s, 133.0ms/step)
=== conv_w128 (33.02M, ffn2: 1408 params) ===
  conv_w128 step 0 loss=16.648 (0s, 416.7ms/step)
  conv_w128 step 500 loss=4.696 (60s, 118.9ms/step)
  conv_w128 step 1000 loss=4.360 (118s, 117.9ms/step)
  conv_w128 step 1500 loss=4.448 (186s, 124.1ms/step)
  conv_w128 step 2000 loss=3.866 (253s, 126.2ms/step)
  conv_w128 step 2500 loss=3.821 (311s, 124.3ms/step)
  conv_w128 step 2999 loss=3.977 (374s, 124.5ms/step)
=== conv_w256 (33.03M, ffn2: 2816 params) ===
  conv_w256 step 0 loss=16.577 (0s, 421.7ms/step)
  conv_w256 step 500 loss=4.666 (61s, 122.4ms/step)
  conv_w256 step 1000 loss=4.351 (133s, 132.9ms/step)
  conv_w256 step 1500 loss=4.409 (197s, 131.1ms/step)
  conv_w256 step 2000 loss=3.872 (261s, 130.3ms/step)
  conv_w256 step 2500 loss=3.798 (326s, 130.2ms/step)
  conv_w256 step 2999 loss=3.966 (382s, 127.4ms/step)
=== conv_k15_w64 (33.02M, ffn2: 1088 params) ===
  conv_k15_w64 step 0 loss=17.108 (0s, 388.7ms/step)
  conv_k15_w64 step 500 loss=4.691 (70s, 139.1ms/step)
  conv_k15_w64 step 1000 loss=4.365 (136s, 136.0ms/step)
  conv_k15_w64 step 1500 loss=4.450 (198s, 131.6ms/step)
  conv_k15_w64 step 2000 loss=3.911 (261s, 130.7ms/step)
  conv_k15_w64 step 2500 loss=3.863 (326s, 130.2ms/step)
  conv_k15_w64 step 2999 loss=4.026 (408s, 135.9ms/step)
=== conv_k15_w128 (33.02M, ffn2: 2176 params) ===
  conv_k15_w128 step 0 loss=16.350 (0s, 458.3ms/step)
  conv_k15_w128 step 500 loss=4.670 (68s, 134.7ms/step)
  conv_k15_w128 step 1000 loss=4.388 (124s, 123.9ms/step)
  conv_k15_w128 step 1500 loss=4.451 (184s, 122.8ms/step)
  conv_k15_w128 step 2000 loss=3.889 (255s, 127.6ms/step)
  conv_k15_w128 step 2500 loss=3.823 (319s, 127.7ms/step)
  conv_k15_w128 step 2999 loss=4.003 (377s, 125.7ms/step)
完成
