ConvASH30 参数量: 29.55M
加载预训练缓存...
样本数: 1270225, batch=32, steps=39695
PT 0/39695 loss=40.681 (1s, 1435ms/step)
PT 250/39695 loss=9.589 (113s, 450ms/step)
PT 500/39695 loss=5.271 (224s, 448ms/step)
PT 750/39695 loss=5.005 (336s, 447ms/step)
PT 1000/39695 loss=4.870 (448s, 447ms/step)
PT 1250/39695 loss=4.831 (560s, 448ms/step)
PT 1500/39695 loss=4.689 (672s, 447ms/step)
PT 1750/39695 loss=4.826 (783s, 447ms/step)
PT 2000/39695 loss=4.671 (895s, 447ms/step)
PT 2250/39695 loss=4.564 (1007s, 447ms/step)
PT 2500/39695 loss=4.356 (1119s, 447ms/step)
PT 2750/39695 loss=4.510 (1231s, 447ms/step)
PT 3000/39695 loss=4.497 (1342s, 447ms/step)
PT 3250/39695 loss=4.098 (1454s, 447ms/step)
PT 3500/39695 loss=4.156 (1610s, 460ms/step)
PT 3750/39695 loss=4.140 (1779s, 474ms/step)
PT 4000/39695 loss=4.154 (1939s, 485ms/step)
PT 4250/39695 loss=3.973 (2108s, 496ms/step)
PT 4500/39695 loss=4.228 (2292s, 509ms/step)
PT 4750/39695 loss=4.319 (2458s, 517ms/step)
PT 5000/39695 loss=4.292 (2633s, 527ms/step)
PT 5250/39695 loss=4.274 (2795s, 532ms/step)
PT 5500/39695 loss=3.910 (2970s, 540ms/step)
PT 5750/39695 loss=4.194 (3141s, 546ms/step)
PT 6000/39695 loss=3.902 (3311s, 552ms/step)
PT 6250/39695 loss=4.066 (3485s, 557ms/step)
PT 6500/39695 loss=4.358 (3680s, 566ms/step)
PT 6750/39695 loss=4.159 (3866s, 573ms/step)
PT 7000/39695 loss=4.001 (4000s, 571ms/step)
PT 7250/39695 loss=4.167 (4174s, 576ms/step)
PT 7500/39695 loss=4.097 (4345s, 579ms/step)
PT 7750/39695 loss=4.282 (4517s, 583ms/step)
PT 8000/39695 loss=3.915 (4684s, 585ms/step)
PT 8250/39695 loss=4.048 (4860s, 589ms/step)
PT 8500/39695 loss=3.941 (5022s, 591ms/step)
PT 8750/39695 loss=3.964 (5203s, 595ms/step)
PT 9000/39695 loss=4.031 (5376s, 597ms/step)
PT 9250/39695 loss=3.944 (5561s, 601ms/step)
PT 9500/39695 loss=4.168 (5737s, 604ms/step)
PT 9750/39695 loss=3.842 (5926s, 608ms/step)
PT 10000/39695 loss=3.930 (6093s, 609ms/step)
PT 10250/39695 loss=3.824 (6256s, 610ms/step)
PT 10500/39695 loss=3.956 (6408s, 610ms/step)
PT 10750/39695 loss=3.986 (6563s, 610ms/step)
PT 11000/39695 loss=3.939 (6722s, 611ms/step)
PT 11250/39695 loss=3.918 (6896s, 613ms/step)
PT 11500/39695 loss=3.960 (7067s, 614ms/step)
