step,train_loss,val_loss,val_ppl,gap,lambda
100,5.7585,5.5819,265.56,-0.177,0.0100
200,4.9495,5.0373,154.05,+0.088,0.0100
300,4.5999,4.7687,117.76,+0.169,0.0100
400,4.6629,4.5820,97.71,-0.081,0.0100
500,4.5594,4.4303,83.96,-0.129,0.0100
600,4.0991,4.3104,74.47,+0.211,0.0100
700,4.3740,4.2227,68.22,-0.151,0.0061
800,4.2005,4.1339,62.42,-0.067,0.0093
900,4.1056,4.0762,58.92,-0.029,0.0086
1000,4.1092,4.0093,55.11,-0.100,0.0034
1100,4.0420,3.9428,51.56,-0.099,0.0036
1200,4.1953,3.9174,50.27,-0.278,0.0034
