step,train_loss,val_loss,val_ppl,gap,lambda
100,5.9045,5.5988,270.09,-0.306,0.0100
200,5.0756,5.0578,157.25,-0.018,0.0100
300,4.8259,4.7643,117.25,-0.062,0.0100
400,4.8505,4.5851,98.01,-0.265,0.0100
500,4.6226,4.4389,84.68,-0.184,0.0100
600,4.2946,4.3223,75.36,+0.028,0.0100
700,4.3035,4.2249,68.37,-0.079,0.0100
800,4.3335,4.1301,62.18,-0.203,0.0100
900,4.2034,4.0676,58.42,-0.136,0.0100
1000,4.1614,4.0047,54.85,-0.157,0.0100
1100,4.0122,3.9538,52.13,-0.058,0.0100
1200,3.7932,3.8984,49.33,+0.105,0.0100
