=== Meta-RU 变体扫描 ===
  metaru_v0_base_lr0.001 0/2500 loss=0.4653 eval=0.1969 (1s)
  metaru_v0_base_lr0.001 500/2500 loss=0.0090 eval=0.0085 (120s)
  metaru_v0_base_lr0.001 1000/2500 loss=0.0092 eval=0.0082 (235s)
  metaru_v0_base_lr0.001 1500/2500 loss=0.0092 eval=0.0086 (348s)
  metaru_v0_base_lr0.001 2000/2500 loss=0.0091 eval=0.0081 (464s)
  metaru_v0_base_lr0.001 2499/2500 loss=0.0076 eval=0.0101 (803s)
  == metaru_v0_base_lr0.001 best=0.00815 (803s) ==

  metaru_v0_base_lr0.0003 0/2500 loss=0.4653 eval=0.4295 (2s)
  metaru_v0_base_lr0.0003 500/2500 loss=0.0089 eval=0.0084 (661s)
  metaru_v0_base_lr0.0003 1000/2500 loss=0.0091 eval=0.0081 (1317s)
  metaru_v0_base_lr0.0003 1500/2500 loss=0.0092 eval=0.0083 (1987s)
  metaru_v0_base_lr0.0003 2000/2500 loss=0.0091 eval=0.0081 (2638s)
  metaru_v0_base_lr0.0003 2499/2500 loss=0.0078 eval=0.0086 (3313s)
  == metaru_v0_base_lr0.0003 best=0.00809 (3313s) ==

  metaru_v1_eta0_lr0.001 0/2500 loss=0.3891 eval=0.1837 (2s)
  metaru_v1_eta0_lr0.001 500/2500 loss=0.0090 eval=0.0085 (600s)
  metaru_v1_eta0_lr0.001 1000/2500 loss=0.0090 eval=0.0080 (1193s)
  metaru_v1_eta0_lr0.001 1500/2500 loss=0.0091 eval=0.0085 (1747s)
  metaru_v1_eta0_lr0.001 2000/2500 loss=0.0090 eval=0.0080 (2291s)
  metaru_v1_eta0_lr0.001 2499/2500 loss=0.0075 eval=0.0090 (2888s)
  == metaru_v1_eta0_lr0.001 best=0.00800 (2888s) ==

  metaru_v1_eta0_lr0.0003 0/2500 loss=0.3891 eval=0.3285 (2s)
  metaru_v1_eta0_lr0.0003 500/2500 loss=0.0088 eval=0.0084 (602s)
  metaru_v1_eta0_lr0.0003 1000/2500 loss=0.0091 eval=0.0080 (1214s)
  metaru_v1_eta0_lr0.0003 1500/2500 loss=0.0092 eval=0.0085 (1777s)
  metaru_v1_eta0_lr0.0003 2000/2500 loss=0.0086 eval=0.0079 (2347s)
  metaru_v1_eta0_lr0.0003 2499/2500 loss=0.0077 eval=0.0085 (2913s)
  == metaru_v1_eta0_lr0.0003 best=0.00786 (2913s) ==

  metaru_v2_eta0_ga_lr0.001 0/2500 loss=0.1872 eval=0.0896 (2s)
  metaru_v2_eta0_ga_lr0.001 500/2500 loss=0.0088 eval=0.0084 (608s)
  metaru_v2_eta0_ga_lr0.001 1000/2500 loss=0.0088 eval=0.0078 (1241s)
  metaru_v2_eta0_ga_lr0.001 1500/2500 loss=0.0094 eval=0.0085 (1827s)
  metaru_v2_eta0_ga_lr0.001 2000/2500 loss=0.0057 eval=0.0053 (2457s)
  metaru_v2_eta0_ga_lr0.001 2499/2500 loss=0.0001 eval=0.0001 (2967s)
  == metaru_v2_eta0_ga_lr0.001 best=0.00009 (2967s) ==

  metaru_v2_eta0_ga_lr0.0003 0/2500 loss=0.1872 eval=0.1597 (1s)
  metaru_v2_eta0_ga_lr0.0003 500/2500 loss=0.0087 eval=0.0083 (559s)
  metaru_v2_eta0_ga_lr0.0003 1000/2500 loss=0.0087 eval=0.0078 (1074s)
  metaru_v2_eta0_ga_lr0.0003 1500/2500 loss=0.0087 eval=0.0081 (1598s)
  metaru_v2_eta0_ga_lr0.0003 2000/2500 loss=0.0059 eval=0.0058 (2158s)
  metaru_v2_eta0_ga_lr0.0003 2499/2500 loss=0.0075 eval=0.0083 (2723s)
  == metaru_v2_eta0_ga_lr0.0003 best=0.00583 (2723s) ==

  metaru_v3_eta0_ga_noclamp_lr0.001 0/2500 loss=nan eval=nan (2s)
  metaru_v3_eta0_ga_noclamp_lr0.001 500/2500 loss=nan eval=nan (505s)
  metaru_v3_eta0_ga_noclamp_lr0.001 1000/2500 loss=nan eval=nan (1022s)
  metaru_v3_eta0_ga_noclamp_lr0.001 1500/2500 loss=nan eval=nan (1532s)
  metaru_v3_eta0_ga_noclamp_lr0.001 2000/2500 loss=nan eval=nan (2051s)
  metaru_v3_eta0_ga_noclamp_lr0.001 2499/2500 loss=nan eval=nan (2584s)
  == metaru_v3_eta0_ga_noclamp_lr0.001 best=nan (2584s) ==

  metaru_v3_eta0_ga_noclamp_lr0.0003 0/2500 loss=nan eval=nan (1s)
  metaru_v3_eta0_ga_noclamp_lr0.0003 500/2500 loss=nan eval=nan (517s)
  metaru_v3_eta0_ga_noclamp_lr0.0003 1000/2500 loss=nan eval=nan (1004s)
  metaru_v3_eta0_ga_noclamp_lr0.0003 1500/2500 loss=nan eval=nan (1499s)
  metaru_v3_eta0_ga_noclamp_lr0.0003 2000/2500 loss=nan eval=nan (2031s)
  metaru_v3_eta0_ga_noclamp_lr0.0003 2499/2500 loss=nan eval=nan (2581s)
  == metaru_v3_eta0_ga_noclamp_lr0.0003 best=nan (2581s) ==

  metaru_v4_eta005_ga_noclamp_lr0.001 0/2500 loss=nan eval=nan (2s)
  metaru_v4_eta005_ga_noclamp_lr0.001 500/2500 loss=nan eval=nan (480s)
  metaru_v4_eta005_ga_noclamp_lr0.001 1000/2500 loss=nan eval=nan (947s)
  metaru_v4_eta005_ga_noclamp_lr0.001 1500/2500 loss=nan eval=nan (1621s)
  metaru_v4_eta005_ga_noclamp_lr0.001 2000/2500 loss=nan eval=nan (2423s)
  metaru_v4_eta005_ga_noclamp_lr0.001 2499/2500 loss=nan eval=nan (2957s)
  == metaru_v4_eta005_ga_noclamp_lr0.001 best=nan (2957s) ==

  metaru_v4_eta005_ga_noclamp_lr0.0003 0/2500 loss=nan eval=nan (2s)
  metaru_v4_eta005_ga_noclamp_lr0.0003 500/2500 loss=nan eval=nan (566s)
  metaru_v4_eta005_ga_noclamp_lr0.0003 1000/2500 loss=nan eval=nan (1113s)
  metaru_v4_eta005_ga_noclamp_lr0.0003 1500/2500 loss=nan eval=nan (1658s)
  metaru_v4_eta005_ga_noclamp_lr0.0003 2000/2500 loss=nan eval=nan (2186s)
